RadDecay File: Nuclides.Rec
Symbol, Name, Atomic Num,  Atomic Mass, Weight, Half Life, Units, Daugh 1, Branch1, Daugh 2, Branch2
Rn-222  	Radon	86	222	222.000	3,8235E+0	D	Po-218  	1.0000
Ru-97   	Ruthenium	44	97	101.070	2,9000E+0	D	Tc-97   	0.9992	Tc-97m  	0.0008
Ru-103  	Ruthenium	44	103	101.070	3,9350E+1	D	Rh-103m 	0.9974
Ru-105  	Ruthenium	44	105	101.070	4,4400E+0	H	Rh-105  	0.7550	Rh-105m 	0.2450
Ru-106  	Ruthenium	44	106	101.070	3,6820E+2	D	Rh-106  	1.0000
S-35    	Sulfur	16	35	32.060	8,7440E+1	D
Sb-117  	Antimony	51	117	121.750	2,8000E+0	H
Sb-122  	Antimony	51	122	121.750	2,7000E+0	D
Sb-124  	Antimony	51	124	121.750	6,0200E+1	D
Sb-125  	Antimony	51	125	121.750	2,7700E+0	Y	Te-125m 	0.2310
Sb-126  	Antimony	51	126	121.750	1,2400E+1	D
Sb-126m 	Antimony	51	126	121.750	1,9000E+1	M	Sb-126  	0.1400
Sb-127  	Antimony	51	127	121.750	3,8500E+0	D	Te-127  	0.8310	Te-127m 	0.1690
Sb-129  	Antimony	51	129	121.750	4,4000E+0	H	Te-129  	0.8340	Te-129m 	0.1660
Sc-44   	Scandium	21	44	44.956	3,9270E+0	H
Sc-46   	Scandium	21	46	44.956	8,3800E+1	D
